Name,Type,Cuisine,Address,Score
Island Grill,Chain,American,3950  Laurel Lane,2
Flavoroso,Gourmet,Argentinian ,4742  Eagle Lane,2
Green Curry,Chain,Indian,1229  Haven Lane,4
El Pirata Porch,Chain,Caribbean,2707  Webster Street,5
Salty Squid,Gourmet,Japanse,2376  Fancher Drive,2
Sweet Escape,Gourmet,Danish,1903  Grove Street,1
Salty Squid,Gourmet,Japanse,2376  Fancher Drive,3
Bangalore Spices,Chain ,Indian,53  Sycamore Road,3
Pancake World,Chain,Russian,2497  Stanton Hollow Road,1
Veganic Corner,Gourmet,Indian,3261  Hornor Avenue,4
Masala,Gourmet,Indian,241  Old Dear Lane,1
Grassfed Grill,Chain,Greek,2669  Wildwood Street,0
Greenanic Smoothies,Chain,American,2661  Wildwood Street,2
Green Curry,Chain,Indian,1229  Haven Lane,0
Green Curry,Chain,Indian,1229  Haven Lane,2
Green Curry,Chain,Indian,1229  Haven Lane,2
Green Curry,Chain,Indian,1229  Haven Lane,2
Salty Squid,Gourmet,Japanse,2376  Fancher Drive,4
Salty Squid,Gourmet,Japanse,2376  Fancher Drive,2
Salty Squid,Gourmet,Japanse,2376  Fancher Drive,3
